number,short_description,priority,category,subcategory,assignment_group,cmdb_ci,contact_type,opened_at,resolved_at,closed_at,close_code,close_notes,incident_state,made_sla,reopen_count,major_incident_state,impact,urgency,severity,sys_created_on
INC4000404,HR portal error on submit,4 - Low,Access,Performance,App Support,Helios HR Portal,Phone,2025-11-12 00:31:26,2025-11-12 07:25:26,2025-11-12 07:25:26,Solved (Work Around),Resolved: hr portal error on submit addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-11-12 00:31:26
INC4000411,Report shows stale data,4 - Low,Network,Error,Database Team,Orion Data Warehouse,Chat,2025-12-15 06:30:10,2025-12-18 02:30:10,2025-12-18 02:30:10,Solved (Permanently),Resolved: report shows stale data addressed by Database Team.,Closed,true,0,No,Low,4 - Low,4,2025-12-15 06:30:10
INC4000416,Print job stuck in queue,4 - Low,Software,Request,Deskside Support,Vertex Print Service,Email,2025-09-05 22:29:02,2025-09-08 07:29:02,2025-09-08 07:29:02,Not Reproducible,Resolved: print job stuck in queue addressed by Deskside Support.,Closed,false,0,No,Low,4 - Low,4,2025-09-05 22:29:02
INC4000421,Cannot send external email,3 - Moderate,Hardware,Error,Cloud Ops,Mailflow Online,Chat,2025-09-25 06:43:35,2025-09-27 03:31:35,2025-09-27 03:31:35,Not Reproducible,Resolved: cannot send external email addressed by Cloud Ops.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-09-25 06:43:35
INC4000422,Payment timeout at checkout,3 - Moderate,Hardware,Configuration,App Support,Acme Payments API,Phone,2025-12-21 03:58:50,2025-12-22 02:16:50,2025-12-22 02:16:50,Closed/Resolved by Caller,Resolved: payment timeout at checkout addressed by App Support.,Closed,false,0,Yes,Moderate,3 - Moderate,3,2025-12-21 03:58:50
INC4000423,File sync conflict,3 - Moderate,Support,Request,Cloud Ops,Nimbus File Storage,Walk-in,2025-10-16 11:35:55,2025-10-18 16:05:55,2025-10-18 16:05:55,Closed/Resolved by Caller,Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-10-16 11:35:55
INC4000429,Email not syncing,4 - Low,Network,Configuration,Cloud Ops,Mailflow Online,Email,2025-09-20 03:20:18,2025-09-22 23:50:18,2025-09-22 23:50:18,Solved (Permanently),Resolved: email not syncing addressed by Cloud Ops.,Closed,false,0,No,Low,4 - Low,4,2025-09-20 03:20:18
INC4000431,Cannot save customer record,4 - Low,Database,Configuration,App Support,Globex CRM,Self-service,2025-12-21 16:03:19,2025-12-24 03:27:19,2025-12-24 03:27:19,Solved (Permanently),Resolved: cannot save customer record addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-12-21 16:03:19
INC4000436,Server high CPU alert,3 - Moderate,Hardware,Performance,Infrastructure,Atlas Monitoring,Email,2025-08-07 13:15:46,2025-08-10 01:03:46,2025-08-10 01:03:46,Solved (Work Around),Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-07 13:15:46
INC4000443,VPN very slow after login,4 - Low,Software,Performance,Network Ops,VPN Gateway,Self-service,2025-10-07 20:37:34,2025-10-10 06:13:34,2025-10-10 06:13:34,Not Reproducible,Resolved: vpn very slow after login addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-10-07 20:37:34
INC4000444,VPN very slow after login,3 - Moderate,Database,Error,Network Ops,VPN Gateway,Chat,2025-08-18 13:29:38,2025-08-18 23:05:38,2025-08-18 23:05:38,Closed/Resolved by Caller,Resolved: vpn very slow after login addressed by Network Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-18 13:29:38
INC4000449,Cannot scan to email,1 - Critical,Network,Request,Deskside Support,Vertex Print Service,Self-service,2025-08-10 13:02:47,2025-08-12 09:32:47,2025-08-12 09:32:47,Solved (Permanently),Resolved: cannot scan to email addressed by Deskside Support.,Closed,false,1,No,Critical,1 - Critical,1,2025-08-10 13:02:47
INC4000452,CRM login failure,4 - Low,Email,Performance,App Support,Globex CRM,Self-service,2025-09-28 17:15:38,2025-10-01 10:45:38,2025-10-01 10:45:38,Solved (Work Around),Resolved: crm login failure addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-09-28 17:15:38
INC4000453,Disk space low on host,2 - High,Support,Error,Infrastructure,Atlas Monitoring,Walk-in,2025-10-06 02:12:20,2025-10-07 11:06:20,2025-10-07 11:06:20,Solved (Work Around),Resolved: disk space low on host addressed by Infrastructure.,Closed,false,1,No,High,2 - High,2,2025-10-06 02:12:20
INC4000454,File sync conflict,3 - Moderate,Network,Request,Cloud Ops,Nimbus File Storage,Email,2025-09-01 00:35:15,2025-09-02 09:29:15,2025-09-02 09:29:15,Not Reproducible,Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-09-01 00:35:15
INC4000460,CRM login failure,3 - Moderate,Database,Outage,App Support,Globex CRM,Phone,2025-07-17 16:39:33,2025-07-17 23:15:33,2025-07-17 23:15:33,Known Error,Resolved: crm login failure addressed by App Support.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-07-17 16:39:33
INC4000461,File sync conflict,3 - Moderate,Network,Configuration,Cloud Ops,Nimbus File Storage,Email,2025-09-03 17:00:09,2025-09-05 17:06:09,2025-09-05 17:06:09,Not Reproducible,Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-09-03 17:00:09
INC4000462,Account locked out,3 - Moderate,Support,Outage,Identity & Access,Titan Auth Service,Walk-in,2025-08-11 00:53:00,2025-08-11 09:05:00,2025-08-11 09:05:00,Solved (Work Around),Resolved: account locked out addressed by Identity & Access.,Closed,false,0,Yes,Moderate,3 - Moderate,3,2025-08-11 00:53:00
INC4000465,ETL job failed,4 - Low,Software,Performance,Database Team,Orion Data Warehouse,Phone,2025-07-06 07:09:44,2025-07-07 03:09:44,2025-07-07 03:09:44,Known Error,Resolved: etl job failed addressed by Database Team.,Closed,false,0,No,Low,4 - Low,4,2025-07-06 07:09:44
INC4000469,Payment gateway returns 500,3 - Moderate,Network,Performance,App Support,Acme Payments API,Email,2025-07-17 18:59:59,2025-07-19 09:23:59,2025-07-19 09:23:59,Not Reproducible,Resolved: payment gateway returns 500 addressed by App Support.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-07-17 18:59:59
INC4000472,VPN disconnects intermittently,2 - High,Access,Request,Network Ops,VPN Gateway,Chat,2025-07-29 19:20:39,2025-07-31 16:02:39,2025-07-31 16:02:39,Known Error,Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,false,1,No,High,2 - High,2,2025-07-29 19:20:39
INC4000475,Email not syncing,3 - Moderate,Database,Configuration,Cloud Ops,Mailflow Online,Chat,2025-11-16 03:42:37,2025-11-16 12:18:37,2025-11-16 12:18:37,Known Error,Resolved: email not syncing addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-11-16 03:42:37
INC4000477,Shared drive inaccessible,4 - Low,Support,Performance,Cloud Ops,Nimbus File Storage,Email,2025-12-28 03:41:07,2025-12-28 08:05:07,2025-12-28 08:05:07,Not Reproducible,Resolved: shared drive inaccessible addressed by Cloud Ops.,Closed,true,0,No,Low,4 - Low,4,2025-12-28 03:41:07
INC4000483,SSO redirect loop,3 - Moderate,Hardware,Configuration,Identity & Access,Titan Auth Service,Walk-in,2025-11-14 16:53:09,2025-11-15 05:59:09,2025-11-15 05:59:09,Not Reproducible,Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-11-14 16:53:09
INC4000487,File sync conflict,4 - Low,Email,Request,Cloud Ops,Nimbus File Storage,Chat,2025-07-04 10:18:46,2025-07-07 04:42:46,2025-07-07 04:42:46,Not Reproducible,Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,1,No,Low,4 - Low,4,2025-07-04 10:18:46
INC4000490,Leave request stuck,3 - Moderate,Software,Request,App Support,Helios HR Portal,Self-service,2025-08-01 10:52:01,2025-08-04 07:10:01,2025-08-04 07:10:01,Solved (Work Around),Resolved: leave request stuck addressed by App Support.,Closed,false,1,Yes,Moderate,3 - Moderate,3,2025-08-01 10:52:01
INC4000493,CRM login failure,4 - Low,Support,Performance,App Support,Globex CRM,Self-service,2025-09-11 10:12:26,2025-09-12 08:54:26,2025-09-12 08:54:26,Known Error,Resolved: crm login failure addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-09-11 10:12:26
INC4000494,Payslip not visible,4 - Low,Hardware,Outage,App Support,Helios HR Portal,Phone,2025-11-11 02:38:56,2025-11-13 13:44:56,2025-11-13 13:44:56,Solved (Work Around),Resolved: payslip not visible addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-11-11 02:38:56
INC4000500,Account locked out,2 - High,Email,Configuration,Identity & Access,Titan Auth Service,Email,2025-09-23 21:40:54,2025-09-25 14:28:54,2025-09-25 14:28:54,Not Reproducible,Resolved: account locked out addressed by Identity & Access.,Closed,true,1,No,High,2 - High,2,2025-09-23 21:40:54
INC4000501,SSO redirect loop,4 - Low,Network,Configuration,Identity & Access,Titan Auth Service,Self-service,2025-09-19 22:10:40,2025-09-20 20:22:40,2025-09-20 20:22:40,Not Reproducible,Resolved: sso redirect loop addressed by Identity & Access.,Closed,false,1,No,Low,4 - Low,4,2025-09-19 22:10:40
INC4000506,Payment timeout at checkout,2 - High,Email,Configuration,App Support,Acme Payments API,Chat,2025-09-06 11:29:43,2025-09-07 08:29:43,2025-09-07 08:29:43,Closed/Resolved by Caller,Resolved: payment timeout at checkout addressed by App Support.,Closed,true,1,Yes,High,2 - High,2,2025-09-06 11:29:43
INC4000510,Email not syncing,4 - Low,Software,Outage,Cloud Ops,Mailflow Online,Self-service,2025-08-28 20:08:43,2025-08-30 06:38:43,2025-08-30 06:38:43,Known Error,Resolved: email not syncing addressed by Cloud Ops.,Closed,true,0,No,Low,4 - Low,4,2025-08-28 20:08:43
INC4000513,MFA prompt not received,2 - High,Network,Outage,Identity & Access,Titan Auth Service,Chat,2025-12-29 08:24:38,2025-12-30 22:24:38,2025-12-30 22:24:38,Closed/Resolved by Caller,Resolved: mfa prompt not received addressed by Identity & Access.,Closed,true,0,No,High,2 - High,2,2025-12-29 08:24:38
INC4000516,CRM page very slow to load,3 - Moderate,Database,Configuration,App Support,Globex CRM,Phone,2025-08-30 08:00:06,2025-09-01 00:24:06,2025-09-01 00:24:06,Not Reproducible,Resolved: crm page very slow to load addressed by App Support.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-30 08:00:06
INC4000521,Data not refreshed overnight,3 - Moderate,Database,Error,Database Team,Orion Data Warehouse,Email,2025-12-25 02:07:23,2025-12-27 04:31:23,2025-12-27 04:31:23,Known Error,Resolved: data not refreshed overnight addressed by Database Team.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-12-25 02:07:23
INC4000522,Print job stuck in queue,3 - Moderate,Network,Outage,Deskside Support,Vertex Print Service,Phone,2025-07-18 02:26:43,2025-07-20 02:50:43,2025-07-20 02:50:43,Solved (Work Around),Resolved: print job stuck in queue addressed by Deskside Support.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-07-18 02:26:43
INC4000527,Email not syncing,4 - Low,Support,Configuration,Cloud Ops,Mailflow Online,Walk-in,2025-12-30 23:53:50,2025-12-31 11:29:50,2025-12-31 11:29:50,Solved (Permanently),Resolved: email not syncing addressed by Cloud Ops.,Closed,true,0,Yes,Low,4 - Low,4,2025-12-30 23:53:50
INC4000534,File sync conflict,1 - Critical,Hardware,Request,Cloud Ops,Nimbus File Storage,Self-service,2025-07-29 05:28:41,2025-07-29 18:52:41,2025-07-29 18:52:41,Closed/Resolved by Caller,Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,0,No,Critical,1 - Critical,1,2025-07-29 05:28:41
INC4000539,Server high CPU alert,3 - Moderate,Hardware,Outage,Infrastructure,Atlas Monitoring,Chat,2025-08-22 03:24:12,2025-08-24 09:24:12,2025-08-24 09:24:12,Solved (Work Around),Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-08-22 03:24:12
INC4000546,Data not refreshed overnight,3 - Moderate,Hardware,Configuration,Database Team,Orion Data Warehouse,Phone,2025-11-20 09:31:14,2025-11-21 22:01:14,2025-11-21 22:01:14,Not Reproducible,Resolved: data not refreshed overnight addressed by Database Team.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-11-20 09:31:14
INC4000549,Printer offline,3 - Moderate,Software,Performance,Deskside Support,Vertex Print Service,Email,2025-12-18 23:25:02,2025-12-21 02:49:02,2025-12-21 02:49:02,Closed/Resolved by Caller,Resolved: printer offline addressed by Deskside Support.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-12-18 23:25:02
INC4000550,Cannot send external email,4 - Low,Access,Configuration,Cloud Ops,Mailflow Online,Email,2025-11-27 10:57:38,2025-11-30 02:45:38,2025-11-30 02:45:38,Solved (Work Around),Resolved: cannot send external email addressed by Cloud Ops.,Closed,false,0,No,Low,4 - Low,4,2025-11-27 10:57:38
INC4000553,Mailbox quota exceeded,1 - Critical,Support,Performance,Cloud Ops,Mailflow Online,Phone,2025-07-06 03:47:58,2025-07-08 22:53:58,2025-07-08 22:53:58,Solved (Permanently),Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,1,No,Critical,1 - Critical,1,2025-07-06 03:47:58
INC4000556,MFA prompt not received,4 - Low,Hardware,Performance,Identity & Access,Titan Auth Service,Walk-in,2025-09-21 02:15:27,2025-09-21 03:09:27,2025-09-21 03:09:27,Known Error,Resolved: mfa prompt not received addressed by Identity & Access.,Closed,false,0,No,Low,4 - Low,4,2025-09-21 02:15:27
INC4000563,Mailbox quota exceeded,3 - Moderate,Email,Request,Cloud Ops,Mailflow Online,Self-service,2025-08-25 02:39:21,2025-08-25 06:33:21,2025-08-25 06:33:21,Solved (Permanently),Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,false,0,Yes,Moderate,3 - Moderate,3,2025-08-25 02:39:21
INC4000568,Server high CPU alert,3 - Moderate,Network,Performance,Infrastructure,Atlas Monitoring,Walk-in,2025-08-14 06:35:32,2025-08-14 17:23:32,2025-08-14 17:23:32,Closed/Resolved by Caller,Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,0,Yes,Moderate,3 - Moderate,3,2025-08-14 06:35:32
INC4000573,Leave request stuck,3 - Moderate,Software,Request,App Support,Helios HR Portal,Chat,2025-07-13 09:14:51,2025-07-14 23:20:51,2025-07-14 23:20:51,Solved (Permanently),Resolved: leave request stuck addressed by App Support.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-07-13 09:14:51
INC4000579,Transaction declined in error,4 - Low,Database,Error,App Support,Acme Payments API,Walk-in,2025-09-04 08:21:22,2025-09-04 13:39:22,2025-09-04 13:39:22,Not Reproducible,Resolved: transaction declined in error addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-09-04 08:21:22
INC4000585,Print job stuck in queue,2 - High,Access,Performance,Deskside Support,Vertex Print Service,Phone,2025-08-31 22:53:58,2025-09-02 21:23:58,2025-09-02 21:23:58,Solved (Permanently),Resolved: print job stuck in queue addressed by Deskside Support.,Closed,false,0,No,High,2 - High,2,2025-08-31 22:53:58
INC4000588,Cannot send external email,4 - Low,Email,Request,Cloud Ops,Mailflow Online,Walk-in,2025-07-09 00:23:49,2025-07-09 15:11:49,2025-07-09 15:11:49,Closed/Resolved by Caller,Resolved: cannot send external email addressed by Cloud Ops.,Closed,true,0,No,Low,4 - Low,4,2025-07-09 00:23:49
INC4000591,ETL job failed,2 - High,Software,Outage,Database Team,Orion Data Warehouse,Chat,2025-09-04 07:49:50,2025-09-06 16:07:50,2025-09-06 16:07:50,Closed/Resolved by Caller,Resolved: etl job failed addressed by Database Team.,Closed,false,1,No,High,2 - High,2,2025-09-04 07:49:50
INC4000598,Cannot connect to VPN,3 - Moderate,Software,Request,Network Ops,VPN Gateway,Self-service,2025-09-29 19:19:28,2025-10-01 07:25:28,2025-10-01 07:25:28,Closed/Resolved by Caller,Resolved: cannot connect to vpn addressed by Network Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-09-29 19:19:28
INC4000603,CRM page very slow to load,4 - Low,Database,Request,App Support,Globex CRM,Phone,2025-07-15 15:39:45,2025-07-17 15:27:45,2025-07-17 15:27:45,Closed/Resolved by Caller,Resolved: crm page very slow to load addressed by App Support.,Closed,true,1,No,Low,4 - Low,4,2025-07-15 15:39:45
INC4000604,Payslip not visible,2 - High,Database,Request,App Support,Helios HR Portal,Email,2025-10-21 12:25:39,2025-10-22 20:01:39,2025-10-22 20:01:39,Known Error,Resolved: payslip not visible addressed by App Support.,Closed,true,0,No,High,2 - High,2,2025-10-21 12:25:39
INC4000606,Server high CPU alert,4 - Low,Support,Outage,Infrastructure,Atlas Monitoring,Email,2025-11-02 02:09:58,2025-11-03 09:57:58,2025-11-03 09:57:58,Closed/Resolved by Caller,Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,0,No,Low,4 - Low,4,2025-11-02 02:09:58
INC4000611,Payslip not visible,2 - High,Network,Request,App Support,Helios HR Portal,Email,2025-09-07 01:52:57,2025-09-09 08:58:57,2025-09-09 08:58:57,Not Reproducible,Resolved: payslip not visible addressed by App Support.,Closed,true,0,No,High,2 - High,2,2025-09-07 01:52:57
INC4000614,VPN disconnects intermittently,3 - Moderate,Support,Outage,Network Ops,VPN Gateway,Chat,2025-09-30 07:48:03,2025-10-01 12:00:03,2025-10-01 12:00:03,Solved (Work Around),Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-09-30 07:48:03
INC4000618,Cannot save customer record,4 - Low,Software,Outage,App Support,Globex CRM,Email,2025-07-25 20:07:09,2025-07-26 01:55:09,2025-07-26 01:55:09,Solved (Permanently),Resolved: cannot save customer record addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-07-25 20:07:09
INC4000625,VPN disconnects intermittently,4 - Low,Hardware,Performance,Network Ops,VPN Gateway,Chat,2025-11-23 05:54:52,2025-11-24 18:48:52,2025-11-24 18:48:52,Solved (Permanently),Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-11-23 05:54:52
INC4000629,Print job stuck in queue,4 - Low,Database,Request,Deskside Support,Vertex Print Service,Walk-in,2025-07-24 17:57:18,2025-07-27 09:39:18,2025-07-27 09:39:18,Closed/Resolved by Caller,Resolved: print job stuck in queue addressed by Deskside Support.,Closed,false,0,No,Low,4 - Low,4,2025-07-24 17:57:18
INC4000632,Leave request stuck,2 - High,Hardware,Configuration,App Support,Helios HR Portal,Walk-in,2025-10-26 13:09:03,2025-10-27 21:51:03,2025-10-27 21:51:03,Solved (Work Around),Resolved: leave request stuck addressed by App Support.,Closed,true,1,Yes,High,2 - High,2,2025-10-26 13:09:03
INC4000634,Payment timeout at checkout,4 - Low,Network,Performance,App Support,Acme Payments API,Email,2025-11-30 03:28:06,2025-12-01 16:58:06,2025-12-01 16:58:06,Known Error,Resolved: payment timeout at checkout addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-11-30 03:28:06
INC4000637,Mailbox quota exceeded,4 - Low,Email,Configuration,Cloud Ops,Mailflow Online,Self-service,2025-10-25 05:10:14,2025-10-26 21:04:14,2025-10-26 21:04:14,Known Error,Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,0,No,Low,4 - Low,4,2025-10-25 05:10:14
INC4000644,Server high CPU alert,2 - High,Support,Error,Infrastructure,Atlas Monitoring,Self-service,2025-11-09 21:01:08,2025-11-11 16:49:08,2025-11-11 16:49:08,Solved (Permanently),Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,0,Yes,High,2 - High,2,2025-11-09 21:01:08
INC4000647,File sync conflict,2 - High,Database,Outage,Cloud Ops,Nimbus File Storage,Chat,2025-10-22 02:43:55,2025-10-22 05:25:55,2025-10-22 05:25:55,Solved (Work Around),Resolved: file sync conflict addressed by Cloud Ops.,Closed,false,0,No,High,2 - High,2,2025-10-22 02:43:55
INC4000651,CRM page very slow to load,3 - Moderate,Hardware,Outage,App Support,Globex CRM,Walk-in,2025-11-04 00:23:26,2025-11-04 12:11:26,2025-11-04 12:11:26,Solved (Work Around),Resolved: crm page very slow to load addressed by App Support.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-11-04 00:23:26
INC4000654,File restore request,3 - Moderate,Hardware,Request,Cloud Ops,Nimbus File Storage,Self-service,2025-07-24 22:19:29,2025-07-26 01:19:29,2025-07-26 01:19:29,Not Reproducible,Resolved: file restore request addressed by Cloud Ops.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-07-24 22:19:29
INC4000656,CRM page very slow to load,2 - High,Support,Performance,App Support,Globex CRM,Email,2025-07-10 06:15:30,2025-07-13 02:21:30,2025-07-13 02:21:30,Known Error,Resolved: crm page very slow to load addressed by App Support.,Closed,true,0,No,High,2 - High,2,2025-07-10 06:15:30
INC4000657,Account locked out,4 - Low,Software,Request,Identity & Access,Titan Auth Service,Walk-in,2025-12-30 06:17:51,2025-12-31 16:11:51,2025-12-31 16:11:51,Closed/Resolved by Caller,Resolved: account locked out addressed by Identity & Access.,Closed,true,0,Yes,Low,4 - Low,4,2025-12-30 06:17:51
INC4000663,Leave request stuck,2 - High,Access,Outage,App Support,Helios HR Portal,Walk-in,2025-07-09 21:42:23,2025-07-10 18:18:23,2025-07-10 18:18:23,Solved (Permanently),Resolved: leave request stuck addressed by App Support.,Closed,true,1,No,High,2 - High,2,2025-07-09 21:42:23
INC4000667,Data not refreshed overnight,4 - Low,Software,Configuration,Database Team,Orion Data Warehouse,Walk-in,2025-11-11 03:12:55,2025-11-13 10:18:55,2025-11-13 10:18:55,Solved (Work Around),Resolved: data not refreshed overnight addressed by Database Team.,Closed,true,0,No,Low,4 - Low,4,2025-11-11 03:12:55
INC4000673,File sync conflict,4 - Low,Email,Error,Cloud Ops,Nimbus File Storage,Phone,2025-10-01 06:41:25,2025-10-03 13:53:25,2025-10-03 13:53:25,Solved (Permanently),Resolved: file sync conflict addressed by Cloud Ops.,Closed,false,0,No,Low,4 - Low,4,2025-10-01 06:41:25
INC4000678,Cannot scan to email,4 - Low,Access,Configuration,Deskside Support,Vertex Print Service,Self-service,2025-12-19 19:51:43,2025-12-22 02:21:43,2025-12-22 02:21:43,Solved (Permanently),Resolved: cannot scan to email addressed by Deskside Support.,Closed,true,0,No,Low,4 - Low,4,2025-12-19 19:51:43
INC4000681,MFA prompt not received,3 - Moderate,Email,Outage,Identity & Access,Titan Auth Service,Phone,2025-10-04 00:54:33,2025-10-04 12:00:33,2025-10-04 12:00:33,Closed/Resolved by Caller,Resolved: mfa prompt not received addressed by Identity & Access.,Closed,true,0,Yes,Moderate,3 - Moderate,3,2025-10-04 00:54:33
INC4000688,Print job stuck in queue,4 - Low,Software,Outage,Deskside Support,Vertex Print Service,Email,2025-10-06 10:02:11,2025-10-08 13:14:11,2025-10-08 13:14:11,Solved (Permanently),Resolved: print job stuck in queue addressed by Deskside Support.,Closed,false,0,No,Low,4 - Low,4,2025-10-06 10:02:11
INC4000690,Service needs restart,2 - High,Database,Error,Infrastructure,Atlas Monitoring,Walk-in,2025-09-25 20:24:00,2025-09-28 18:00:00,2025-09-28 18:00:00,Closed/Resolved by Caller,Resolved: service needs restart addressed by Infrastructure.,Closed,true,1,No,High,2 - High,2,2025-09-25 20:24:00
INC4000691,Email not syncing,4 - Low,Access,Outage,Cloud Ops,Mailflow Online,Chat,2025-07-06 18:39:27,2025-07-09 14:57:27,2025-07-09 14:57:27,Solved (Work Around),Resolved: email not syncing addressed by Cloud Ops.,Closed,false,0,No,Low,4 - Low,4,2025-07-06 18:39:27
INC4000692,Cannot scan to email,1 - Critical,Database,Performance,Deskside Support,Vertex Print Service,Walk-in,2025-11-19 19:40:42,2025-11-22 13:58:42,2025-11-22 13:58:42,Solved (Work Around),Resolved: cannot scan to email addressed by Deskside Support.,Closed,true,1,Yes,Critical,1 - Critical,1,2025-11-19 19:40:42
INC4000697,Shared drive inaccessible,3 - Moderate,Network,Outage,Cloud Ops,Nimbus File Storage,Walk-in,2025-08-27 10:00:05,2025-08-27 22:54:05,2025-08-27 22:54:05,Closed/Resolved by Caller,Resolved: shared drive inaccessible addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-27 10:00:05
INC4000703,Print job stuck in queue,4 - Low,Hardware,Request,Deskside Support,Vertex Print Service,Email,2025-08-24 15:00:29,2025-08-27 10:48:29,2025-08-27 10:48:29,Closed/Resolved by Caller,Resolved: print job stuck in queue addressed by Deskside Support.,Closed,true,0,No,Low,4 - Low,4,2025-08-24 15:00:29
INC4000710,CRM page very slow to load,3 - Moderate,Support,Performance,App Support,Globex CRM,Email,2025-10-13 22:42:36,2025-10-15 14:00:36,2025-10-15 14:00:36,Solved (Permanently),Resolved: crm page very slow to load addressed by App Support.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-10-13 22:42:36
INC4000717,MFA prompt not received,4 - Low,Email,Outage,Identity & Access,Titan Auth Service,Walk-in,2025-10-29 01:01:45,2025-10-31 06:55:45,2025-10-31 06:55:45,Not Reproducible,Resolved: mfa prompt not received addressed by Identity & Access.,Closed,true,0,Yes,Low,4 - Low,4,2025-10-29 01:01:45
INC4000723,Server high CPU alert,3 - Moderate,Hardware,Error,Infrastructure,Atlas Monitoring,Self-service,2025-08-13 18:55:36,2025-08-13 23:01:36,2025-08-13 23:01:36,Closed/Resolved by Caller,Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-08-13 18:55:36
INC4000729,Cannot connect to VPN,4 - Low,Access,Request,Network Ops,VPN Gateway,Phone,2025-07-01 22:45:24,2025-07-03 14:39:24,2025-07-03 14:39:24,Not Reproducible,Resolved: cannot connect to vpn addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-07-01 22:45:24
INC4000736,Cannot save customer record,1 - Critical,Software,Performance,App Support,Globex CRM,Chat,2025-10-28 08:53:45,2025-10-29 01:59:45,2025-10-29 01:59:45,Solved (Work Around),Resolved: cannot save customer record addressed by App Support.,Closed,true,1,No,Critical,1 - Critical,1,2025-10-28 08:53:45
INC4000737,VPN disconnects intermittently,4 - Low,Network,Configuration,Network Ops,VPN Gateway,Walk-in,2025-12-19 09:35:08,2025-12-22 06:53:08,2025-12-22 06:53:08,Solved (Permanently),Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-12-19 09:35:08
INC4000741,Cannot scan to email,4 - Low,Network,Performance,Deskside Support,Vertex Print Service,Self-service,2025-10-04 22:48:25,2025-10-07 14:54:25,2025-10-07 14:54:25,Not Reproducible,Resolved: cannot scan to email addressed by Deskside Support.,Closed,true,1,No,Low,4 - Low,4,2025-10-04 22:48:25
INC4000747,VPN very slow after login,4 - Low,Support,Performance,Network Ops,VPN Gateway,Phone,2025-07-03 13:51:28,2025-07-04 14:27:28,2025-07-04 14:27:28,Known Error,Resolved: vpn very slow after login addressed by Network Ops.,Closed,false,1,Yes,Low,4 - Low,4,2025-07-03 13:51:28
INC4000751,Payslip not visible,4 - Low,Network,Performance,App Support,Helios HR Portal,Self-service,2025-07-16 20:57:08,2025-07-18 21:21:08,2025-07-18 21:21:08,Not Reproducible,Resolved: payslip not visible addressed by App Support.,Closed,false,0,No,Low,4 - Low,4,2025-07-16 20:57:08
